1,google.com
2,netflix.com
3,www.google.com
4,api-global.netflix.com
5,microsoft.com
6,facebook.com
7,doubleclick.net
8,g.doubleclick.net
9,hola.org
10,dns-test1.hola.org
11,googleads.g.doubleclick.net
12,google-analytics.com
13,www.facebook.com
14,clients4.google.com
15,youtube.com
16,fbcdn.net
17,www.googleapis.com
18,googlesyndication.com
19,data.microsoft.com
20,www.google-analytics.com
21,googleadservices.com
22,graph.facebook.com
23,www.googleadservices.com
24,apple.com
25,www.youtube.com
26,googleusercontent.com
27,fonts.googleapis.com
28,live.com
29,amazonaws.com
30,settings-win.data.microsoft.com
31,pagead2.googlesyndication.com
32,ichnaea.netflix.com
33,xx.fbcdn.net
34,clients1.google.com
35,clientservices.googleapis.com
36,bing.com
37,ytimg.com
38,apis.google.com
39,yahoo.com
40,accounts.google.com
41,twitter.com
42,facebook.net
43,connect.facebook.net
44,tpc.googlesyndication.com
45,crl.microsoft.com
46,i.ytimg.com
47,scorecardresearch.com
48,akadns.net
49,msn.com
50,securepubads.g.doubleclick.net
51,ggpht.com
52,play.google.com
53,safebrowsing.googleapis.com
54,stats.g.doubleclick.net
55,appboot.netflix.com
56,akamaiedge.net
57,googlevideo.com
58,secure.netflix.com
59,clients.google.com
60,com.akadns.net
61,play.googleapis.com
62,adnxs.com
63,safebrowsing.google.com
64,android.clients.google.com
65,mtalk.google.com
66,symcd.com
67,vortex-win.data.microsoft.com
68,lh3.googleusercontent.com
69,clients2.google.com
70,cm.g.doubleclick.net
71,l.google.com
72,2mdn.net
73,instagram.com
74,icloud.com
75,clients3.google.com
76,ssl.google-analytics.com
77,safebrowsing-cache.google.com
78,ajax.googleapis.com
79,s.youtube.com
80,edge-mqtt.facebook.com
81,www.apple.com
82,itunes.apple.com
83,skype.com
84,scontent.xx.fbcdn.net
85,akamai.net
86,msftncsi.com
87,s0.2mdn.net
88,googletagservices.com
89,www.googletagservices.com
90,ad.doubleclick.net
91,nccp.netflix.com
92,staticxx.facebook.com
93,ntp.org
94,pool.ntp.org
95,tools.google.com
96,push.apple.com
97,notifications.google.com
98,officeapps.live.com
99,criteo.com
100,googletagmanager.com
