,domain,latency1,latency2,latency3,latency4
38,F252YFCB8CHTR8214AGJ0FBCGPJSP47MH0CEHS8WG6M2I25X3B.askjd,4.43196296692,1.9359588623,1.78790092468,1.76787376404
39,35UODLWDI9J5WAW2PFYGU6XSWEF3D5KQRJEJWACTI9LYUHKNT5.askjd,4.390001297,1.92999839783,1.7728805542,1.82509422302
40,49NP33J7S3F9M3UOUKYWX9REB85REXNYHSK6MF1YWF39CCGXOX.askjd,4.37903404236,1.95503234863,1.77502632141,1.88493728638
41,LI2573I20D2KLB7V7KISWEGUU2MVGIA3YRTMG1XUTE7ETC94MB.askjd,4.21810150146,1.89685821533,1.75905227661,1.82008743286
42,M7RCU1EHGCPMXI7GSD3II7KEF69T4YYD7GG9N8NM053V9549ZA.askjd,4.42099571228,1.89805030823,1.80387496948,1.80387496948
43,PLL05HR2K6RCUI9Q7YMD3B9VDOB44TE95FQAAXT0HKPMMI05D0.askjd,4.41098213196,1.88493728638,1.80697441101,1.74307823181
44,K5ESDJRS6I8R375K2L36FZ5ZI19HD94WH5S429O7GXB0NWXB3U.askjd,4.41098213196,1.8789768219,1.80912017822,1.78599357605
45,CUPDMTUM3FZIONZREFXT1LJN1T7G8QSKMRSPQF6MZAC36516SX.askjd,4.3261051178,1.9850730896,1.78217887878,1.76405906677
46,TRAX8L8RRN4QLUPQALDHB3AMSMFM5PMDL7PV6HXZKUYXURDLNU.askjd,4.40287590027,1.90114974976,1.83296203613,1.76286697388
47,SUFYWASB3M16OC0OMVR49J386WX5G8Q1S11LAK3PWYTVZJZVUJ.askjd,4.45199012756,2.01606750488,1.83987617493,1.82580947876
48,BA8WJ9JE3EFO2ALV3JNUQQUMAOVWHTF6VFZ3BNGBQER2KEPIJI.askjd,4.35900688171,1.98698043823,1.85799598694,1.75499916077
49,6R2B4ZPZ0XVQJ6KV5O2Y3J61S3KXE1TMSH0P37931N68BMW8C5.askjd,4.21190261841,1.8367767334,1.82104110718,1.76906585693
50,X1URIL9QI4IWAC6NALFSC8OM10MPQUUKEOKFOHB3KTAVGR9V84.askjd,4.33993339539,1.87397003174,1.83820724487,1.75619125366
51,WX00EBQ2LGVFS3JML8W71X248G4OUF5ECA2QH16SMT2ZG9E81M.askjd,4.19402122498,1.78813934326,1.83916091919,1.92618370056
52,TG9G38V7V1ZCS9PT36AKFKDTLVM1NRZK7LG7AO7A9E9HLCNKVI.askjd,4.37116622925,1.74117088318,1.85012817383,1.83987617493
53,YUM6K5R5I8KD6NYCC7ZCSOMQ3OCJQZ0T54PW7MJLVJV02POW9W.askjd,4.2450428009,1.76906585693,1.84607505798,1.83010101318
54,R82LR8VEX0FGJ1XQRE8K331JMO9X6YNO8TFLF393FWKMSJ773A.askjd,4.24814224243,1.72686576843,1.86586380005,1.76882743835
55,DM1YEZ6O3KSVYUQ4W90PJ5ZI22WG776WSV2XRNYPBTOY40KTCD.askjd,4.35614585876,1.71399116516,1.80983543396,1.77311897278
56,RJJNCFJCSEYD0JQEPNBPHSAJMVKV1XISA702GTT300QY423K3O.askjd,4.37593460083,1.8470287323,1.82104110718,1.81603431702
57,T1Z4WL8SYORA6T4PRA5WB3L2HIPZBRK8T4R09OKLTUL49Q69BE.askjd,4.21094894409,1.76692008972,1.80292129517,1.80315971375
58,0YP6ML3LSYNGJ62DZ7CFM99ZI95HTTS17D287KHOKX71OG083X.askjd,4.17804718018,1.73306465149,1.94501876831,1.71494483948
