,domain,latency1,latency2,latency3,latency4
38,BL2JKOFWTWCJYRG0146NCLXLXI8TZLH35FAC5RSL24F5QLW3BP.tld1,4.56690788269,2.3238658905,2.4950504303,3.43608856201
39,KY73XYZV51K6T4Q5XXGZFW9QBF2U4T1RLN9VV6UOZQ77L9B3P5.tld1,4.43387031555,2.22706794739,2.21490859985,9.37080383301
40,WYOESL7WCY3MKIHR8BTL3K1YZ5BCIBZZC3GKSYHGGLDC41QOCO.tld1,4.64701652527,2.36177444458,2.17914581299,5.60593605042
41,3TH0F22UVQ0BXZ2Q1X0TLQTGSDXM9HWPIR6P9EDNQKRLHYY46E.tld1,4.77600097656,2.34293937683,2.16007232666,8.39591026306
42,NQDF8EVJVEN603UD61C7Q7KC9Y8MIWA83D9JUB787TBZC7Z8L7.tld1,4.67014312744,2.15411186218,2.17318534851,2.6171207428
43,J3TVAR0EBJ7GA10BWRVAKA1HLE033VZKS874V5R8IMKF1PECKV.tld1,4.89401817322,2.3820400238,1.94096565247,2.43401527405
44,4KL7HS9EQUZ5K6M6654LMFRG70IMPZY3YXO87UU4VSICS15TBX.tld1,5.22685050964,2.21586227417,4.00400161743,2.25901603699
45,G5F6PDQA9PUUBBS17M8PFQMRGPQH3ZVPTKSFGMVW8NUWVV5IAF.tld1,4.94408607483,2.04300880432,2.17890739441,3.09705734253
46,OR70N0XSRD0AU89QM0UBRGV7X4KPAIXKKKGCHEOSPXCSJ8DV42.tld1,5.01894950867,2.13408470154,2.13098526001,2.13098526001
47,GCOTEERMNNIDWMSX6YR0XTSP66F3L26RXVSBONGTV4A6TSYOW4.tld1,5.05304336548,2.05111503601,2.18296051025,2.04110145569
48,VJCVXHAL1B381T4E7Z0CEIZNYTIRBSTB57KMP0JJ6L8I6D07JU.tld1,4.95409965515,2.1059513092,2.08783149719,1.93214416504
49,YQE4L88IJKP90JWQD361N455W3LNGTK8H74CAB9WRBG61BPPR2.tld1,5.13005256653,2.11787223816,2.07495689392,2.91204452515
50,DDVSV7XNNCBS1ME24X4O9H12EJLLI9RO33ZUVWFILHJZTNGJNK.tld1,5.13696670532,2.17890739441,2.01010704041,2.01392173767
51,DDE5VCA9W2OVR4ZT3QEU2X2A2ABIZMG7863O7UKGYQYF3I508X.tld1,5.24091720581,2.09498405457,2.12788581848,1.94907188416
52,ESEK8VKB5K4S1ENR7GGO8CKC4AGF3XXXDA4FR5JCC3KI9X8345.tld1,5.09691238403,2.12907791138,2.00295448303,1.86085700989
53,CUS6MHTJK97A4E4AW1QM389U75KUV3PF3IEWVXQDWCBEJ12UFQ.tld1,5.21087646484,2.2828578949,2.11882591248,1.90401077271
54,0MRRV1S2YP362BYQOZ95U4UCN2RM4H8METOM7SCJ7RGDTOXF6X.tld1,5.06496429443,2.05111503601,1.87706947327,1.87993049622
55,4JEKBN32KD1F5H921LYZF2IT9U89PNIXVYVTERHPN1MYCEWM1H.tld1,5.07593154907,2.32005119324,1.86395645142,1.88493728638
56,WI5FD820MOW00Y1HFS3ZDHB2KEA2JY7V60396WDPARXMLSJSWV.tld1,4.95004653931,2.00295448303,1.89900398254,1.95908546448
57,8105YHUE8HR2H0V6R3MD53HN3PIHGR1FKQHLYILWUXB6Y7JGJN.tld1,4.89783287048,2.09307670593,1.92308425903,1.95384025574
58,5I3R1Q0JAWSK9FUDW0YABKDYFYQLAJ36GVWHNBDVQK4N5DGNMO.tld1,4.58288192749,2.05898284912,1.84607505798,1.93405151367
59,6UVBOWXOF56XZJDQ2L70NKAR4TU448C6J455DID1PAA2I1XR5T.tld1,4.96983528137,2.03704833984,1.97982788086,1.92499160767
60,HXFCYQT89VXHWSTFS6EZTEEWE9DHGEI0YSQFP7BTFBUMZSSOSZ.tld1,5007.13205338,5.59282302856,1.9690990448,1.90091133118
61,BFTTGXGMAVR5R5DCG2BGRH2LDXC4MLOX29RK2FQXID3PROAQ2L.tld1,8.25095176697,1.91497802734,2.40898132324,1.80506706238
62,D076NP2DTKIXWQRUK9K86NMO0Z27CBOFX4MJPCDN2KMYYCHEFX.tld1,6.91890716553,2.16507911682,2.13003158569,1.68490409851
63,50HZBMTKZ35LG571O0ISY4KGB1YXJH2Z0UB7V3VMJ1CKBMHRPH.tld1,5.91802597046,2.01797485352,1.99103355408,1.87087059021
64,IU8GDTR2V1UJI6KAE1LZ2AMK58SAFITJB6Z67QR0T8GHW2YAEN.tld1,5.25712966919,2.02798843384,1.85203552246,1.84297561646
65,QUO1OW9OVD4VA4MZA1VLFHMOR7IYCQ6TXLBF0CEYMV6HXPGZ94.tld1,4.99200820923,1.99604034424,1.83916091919,1.97100639343
66,24104WQRX9HB3RIEN1RF1HAF6LG98HKGF9QLPGW5TAAGTOZFG8.tld1,4.95982170105,2.19416618347,1.79386138916,2.11191177368
67,3BIZW84BTCQ8W0ITKWPKPTZS7J823OPG9KEY9EG1C47ZCEBNSH.tld1,5.06687164307,1.91402435303,1.90591812134,1.85990333557
68,OFTVNL3OESKDQXEKCI3Q5BZCSG8GCMRVAVQ5KGOKQ1SI300XWH.tld1,5.22494316101,2.02298164368,1.8789768219,1.87301635742
69,S3W3ZMU6TQ6YGMEHTE0P2MYYPNAIE466XWZQTMRIXYOPJHN6XN.tld1,5.18894195557,2.07805633545,1.88994407654,2.10309028625
70,66FCHE5499J00GVHGVF7O3EU3A2E2WVD6K22CI5GPHQ4GVU9C7.tld1,4.8611164093,2.21610069275,1.87301635742,2.00605392456
71,FXT2I3EL58KMJD1EHP5I72PME7RAI35I63I6Q3OK3ASDHL9BCM.tld1,4.58383560181,2.01201438904,1.75881385803,1.92308425903
72,R0MLD4743RIRK8481GE2ZLFABX4OG1BJB9AMA8HTO8824SQX9J.tld1,4.65893745422,2.08115577698,1.77693367004,2.01797485352
73,V7FDHRWKHD44ZJ3VZGYZ3MNNIBP6PQZYEPPZQHH0S93X9IJP95.tld1,4.62794303894,2.02488899231,2.01201438904,1.90997123718
74,OBECPWH56V1B5THFII99R12AV8JPIKO1TRSICQH9YYJG2YCOUF.tld1,4.75597381592,2.00200080872,1.81102752686,2.05898284912
75,G7PT36RQ2HTXQCXYBK3LEQB0OGF8HW92DYVPS63A4HRVL8XFOJ.tld1,4.66299057007,1.97386741638,1.84607505798,1.97386741638
76,AGGOWNGR4A1OUMOGJLTS9DVIBS7WPIL0BO456PIWK4JROOCGAY.tld1,4.83393669128,2.08902359009,1.8470287323,1.93309783936
77,QGVWIQH5DHVJPU1A06Q0OJV7VIAGCZZPU9MIGK8YVCHM1X938I.tld1,4.46009635925,2.1059513092,1.77216529846,2.05302238464
78,NA29KQNQABZ16SBUJUZWTNLD52PUCG1BIOIY5SLW2JM8I57LM3.tld1,4.53114509583,2.06685066223,1.84011459351,1.98411941528
79,CJVBKJRLH5QFNUHSEDG7TLG8ZRNSVTIPDX50UY69GM5K5JEXNI.tld1,4.58097457886,2.15101242065,1.70683860779,2.23588943481
80,GCJQNE9WZ1MMZ5WABMCXL1R3A9V85LWI5BDZBNHYR65TUYJTUE.tld1,4.69303131104,2.01487541199,1.68204307556,2.06804275513
81,YGJRUCQQ91ZJTFLZBM68108AN1HV5UEG3WEIPPAE7N3YPFCWGK.tld1,4.61196899414,2.00009346008,1.82104110718,1.94883346558
82,B3CFGH3G9QYE1TCS577AST1AQYMJU2CF4KFEQ1AKLQBJK7B7SN.tld1,4.40907478333,1.9199848175,1.94311141968,1.88279151917
83,7ZI34IXV5NJLZMYN12M6BLVDKK39LA5NLAU4CGTGKD0QJRHJ4Y.tld1,4.57406044006,2.02107429504,1.84392929077,1.87706947327
84,J213UKBUKSJ3ZJV7AC1OL3KF700183JVO5OYQ3SASZHHV95RUP.tld1,4.74381446838,2.05302238464,1.79886817932,1.9588470459
85,AD53ND8S5QNKSARD6NCA62POOASOHUMETD88NOICQO0ZPSIH37.tld1,4.71806526184,1.9679069519,1.8458366394,1.8458366394
86,IRQQFVDIAL36TTS0TSFR61FFPSC9N2TL5C5PMNGZ6DBEWTFAVI.tld1,4.7390460968,2.00390815735,1.82890892029,1.93905830383
87,R8TEY4RF6FHEM32LJ1PV4FTDJV0IJA1X1CTVFK9YT3WCV16GCN.tld1,4.70995903015,1.99294090271,1.87802314758,1.91807746887
